k	tp	tn	fp	fn	acc
10	498	490	10	2	0.988000
20	499	487	13	1	0.986000
30	499	488	12	1	0.987000
40	499	488	12	1	0.987000
50	500	488	12	0	0.988000
60	500	488	12	0	0.988000
70	500	488	12	0	0.988000
80	500	488	12	0	0.988000
90	499	488	12	1	0.987000
100	500	488	12	0	0.988000
110	500	488	12	0	0.988000
120	500	488	12	0	0.988000
130	500	488	12	0	0.988000
140	500	488	12	0	0.988000
150	500	487	13	0	0.987000
160	500	486	14	0	0.986000
170	500	486	14	0	0.986000
180	500	486	14	0	0.986000
190	500	486	14	0	0.986000
200	500	485	15	0	0.985000
210	500	485	15	0	0.985000
220	500	485	15	0	0.985000
230	500	485	15	0	0.985000
240	500	485	15	0	0.985000
250	500	485	15	0	0.985000
260	500	485	15	0	0.985000
270	500	485	15	0	0.985000
280	500	485	15	0	0.985000
290	500	485	15	0	0.985000
300	500	485	15	0	0.985000
310	500	485	15	0	0.985000
320	500	484	16	0	0.984000
330	500	484	16	0	0.984000
340	500	484	16	0	0.984000
350	500	484	16	0	0.984000
360	500	484	16	0	0.984000
370	500	484	16	0	0.984000
380	500	484	16	0	0.984000
390	500	484	16	0	0.984000
400	500	484	16	0	0.984000
410	500	484	16	0	0.984000
420	500	484	16	0	0.984000
430	500	483	17	0	0.983000
440	500	484	16	0	0.984000
450	500	483	17	0	0.983000
460	500	483	17	0	0.983000
470	500	483	17	0	0.983000
480	500	483	17	0	0.983000
490	500	483	17	0	0.983000
500	500	483	17	0	0.983000
510	500	483	17	0	0.983000
520	500	483	17	0	0.983000
530	500	483	17	0	0.983000
540	500	483	17	0	0.983000
550	500	483	17	0	0.983000
560	500	483	17	0	0.983000
570	500	483	17	0	0.983000
580	500	483	17	0	0.983000
590	500	483	17	0	0.983000
600	500	483	17	0	0.983000
610	500	483	17	0	0.983000
620	500	483	17	0	0.983000
630	500	483	17	0	0.983000
640	500	483	17	0	0.983000
650	500	483	17	0	0.983000
660	500	483	17	0	0.983000
670	500	483	17	0	0.983000
680	500	483	17	0	0.983000
690	500	482	18	0	0.982000
700	500	482	18	0	0.982000
710	500	482	18	0	0.982000
720	500	482	18	0	0.982000
730	500	482	18	0	0.982000
740	500	479	21	0	0.979000
750	500	478	22	0	0.978000
760	500	477	23	0	0.977000
770	500	477	23	0	0.977000
780	500	477	23	0	0.977000
790	500	477	23	0	0.977000
800	500	477	23	0	0.977000
810	500	476	24	0	0.976000
820	500	475	25	0	0.975000
830	500	475	25	0	0.975000
840	500	474	26	0	0.974000
850	500	475	25	0	0.975000
860	500	474	26	0	0.974000
870	500	474	26	0	0.974000
880	500	474	26	0	0.974000
890	500	473	27	0	0.973000
900	500	473	27	0	0.973000
910	500	472	28	0	0.972000
920	500	472	28	0	0.972000
930	500	472	28	0	0.972000
940	500	472	28	0	0.972000
950	500	471	29	0	0.971000
960	500	470	30	0	0.970000
970	500	466	34	0	0.966000
980	500	464	36	0	0.964000
990	500	447	53	0	0.947000
